M, N, B, ALGO_NAME, RESULT, RUNNING_TIME
2, 6, 3.000000, PDP, 11.000000, 0.000151
2, 6, 3.000000, TABU, 1.000000, 0.031000
2, 6, 3.000000, TABU-RAND, 1.000000, 0.000000
2, 6, 3.000000, PDP, 12.000000, 0.000133
2, 6, 3.000000, TABU, 1.000000, 0.031000
2, 6, 3.000000, TABU-RAND, 1.000000, 0.000000
2, 6, 3.000000, PDP, 8.000000, 0.000067
2, 6, 3.000000, TABU, 1.000000, 0.047000
2, 6, 3.000000, TABU-RAND, 1.000000, 0.000000
2, 6, 3.000000, PDP, 17.000000, 0.000111
2, 6, 3.000000, TABU, 1.000000, 0.047000
2, 6, 3.000000, TABU-RAND, 1.000000, 0.000000
2, 6, 3.000000, PDP, 5.000000, 0.000054
2, 6, 3.000000, TABU, 1.000000, 0.047000
2, 6, 3.000000, TABU-RAND, 1.000000, 0.000000
2, 6, 3.000000, PDP, 8.000000, 0.000045
2, 6, 3.000000, TABU, 1.000000, 0.047000
2, 6, 3.000000, TABU-RAND, 1.000000, 0.000000
2, 6, 3.000000, PDP, 19.000000, 0.000156
2, 6, 3.000000, TABU, 1.000000, 0.031000
2, 6, 3.000000, TABU-RAND, 1.000000, 0.000000
2, 6, 3.000000, PDP, 10.000000, 0.000086
2, 6, 3.000000, TABU, 1.000000, 0.031000
2, 6, 3.000000, TABU-RAND, 1.000000, 0.000000
2, 6, 3.000000, PDP, 8.000000, 0.000074
2, 6, 3.000000, TABU, 1.000000, 0.078000
2, 6, 3.000000, TABU-RAND, 1.000000, 0.000000
2, 6, 3.000000, PDP, 13.000000, 0.000113
2, 6, 3.000000, TABU, 1.000000, 0.047000
2, 6, 3.000000, TABU-RAND, 1.000000, 0.000000
2, 6, 5.000000, PDP, 11.000000, 0.000240
2, 6, 5.000000, TABU, 1.000000, 0.047000
2, 6, 5.000000, TABU-RAND, 1.000000, 0.000000
2, 6, 5.000000, PDP, 13.000000, 0.000093
2, 6, 5.000000, TABU, 1.000000, 0.047000
2, 6, 5.000000, TABU-RAND, 1.000000, 0.000000
2, 6, 5.000000, PDP, 3.000000, 0.000067
2, 6, 5.000000, TABU, 1.000000, 0.031000
2, 6, 5.000000, TABU-RAND, 1.000000, 0.000000
2, 6, 5.000000, PDP, 11.000000, 0.000092
2, 6, 5.000000, TABU, 1.000000, 0.047000
2, 6, 5.000000, TABU-RAND, 1.000000, 0.000000
2, 6, 5.000000, PDP, 6.000000, 0.000112
2, 6, 5.000000, TABU, 1.000000, 0.047000
2, 6, 5.000000, TABU-RAND, 1.000000, 0.000000
2, 6, 5.000000, PDP, 5.000000, 0.000074
2, 6, 5.000000, TABU, 1.000000, 0.047000
2, 6, 5.000000, TABU-RAND, 1.000000, 0.000000
2, 6, 5.000000, PDP, 6.000000, 0.000064
2, 6, 5.000000, TABU, 1.000000, 0.031000
2, 6, 5.000000, TABU-RAND, 1.000000, 0.000000
2, 6, 5.000000, PDP, 10.000000, 0.000044
2, 6, 5.000000, TABU, 1.000000, 0.047000
2, 6, 5.000000, TABU-RAND, 1.000000, 0.000000
2, 6, 5.000000, PDP, 11.000000, 0.000056
2, 6, 5.000000, TABU, 1.000000, 0.047000
2, 6, 5.000000, TABU-RAND, 1.000000, 0.000000
2, 6, 5.000000, PDP, 6.000000, 0.000067
2, 6, 5.000000, TABU, 1.000000, 0.047000
2, 6, 5.000000, TABU-RAND, 1.000000, 0.000000
2, 6, 7.000000, PDP, 14.000000, 0.000064
2, 6, 7.000000, TABU, 1.000000, 0.032000
2, 6, 7.000000, TABU-RAND, 1.000000, 0.000000
2, 6, 7.000000, PDP, 8.000000, 0.000085
2, 6, 7.000000, TABU, 1.000000, 0.031000
2, 6, 7.000000, TABU-RAND, 1.000000, 0.000000
2, 6, 7.000000, PDP, 7.000000, 0.000086
2, 6, 7.000000, TABU, 1.000000, 0.094000
2, 6, 7.000000, TABU-RAND, 1.000000, 0.000000
2, 6, 7.000000, PDP, 12.000000, 0.000112
2, 6, 7.000000, TABU, 1.000000, 0.031000
2, 6, 7.000000, TABU-RAND, 1.000000, 0.000000
2, 6, 7.000000, PDP, 12.000000, 0.000078
2, 6, 7.000000, TABU, 1.000000, 0.031000
2, 6, 7.000000, TABU-RAND, 1.000000, 0.000000
2, 6, 7.000000, PDP, 4.000000, 0.000051
2, 6, 7.000000, TABU, 1.000000, 0.031000
